copy and paste JSON data,,,,,,,,add manually,automatic calculation,,,,,,,,num,start,end,opening hours,closing hours,stage,weapon 1,weapon 2,weapon 3,weapon 4,rare wepon,weapon set type,weapons text
num,start,end,stage,w1,w2,w3,w4,rare,kind,stage,w1,w2,w3,w4,-1,-2,1,2017/07/21 15:00,2017/07/22 13:00,22,2,シェケナダム,わかばシューター,スプラマニューバー,スプラローラー,スプラチャージャー,,普通編成,"わかばシューター,スプラマニューバー,スプラローラー,スプラチャージャー"
1,1500616800,1500696000,1,10,5010,1010,2010,,0,0,10,5010,1010,2010,0,0,2,2017/07/22 15:00,2017/07/23 13:00,22,2,難破船ドン･ブラコ,スプラシューター,ホットブラスター,バケットスロッシャー,ジェットスイーパー,,普通編成,"スプラシューター,ホットブラスター,バケットスロッシャー,ジェットスイーパー"
2,1500703200,1500782400,2,40,210,3000,90,,0,1,40,210,3000,90,0,0,3,2017/07/23 15:00,2017/07/24 15:00,24,30,シェケナダム,バレルスピナー,ホクサイ,スプラローラー,スプラマニューバー,,普通編成,"バレルスピナー,ホクサイ,スプラローラー,スプラマニューバー"
3,1500789600,1500876000,1,4010,1110,1010,5010,,0,0,4010,1110,1010,5010,0,0,4,2017/07/25 21:00,2017/07/26 9:00,12,30,難破船ドン･ブラコ,カーボンローラー,ヒッセン,スプラチャージャー,シャープマーカー,,普通編成,"カーボンローラー,ヒッセン,スプラチャージャー,シャープマーカー"
4,1500984000,1501027200,2,1000,3010,2010,20,,0,1,1000,3010,2010,20,0,0,5,2017/07/27 15:00,2017/07/28 3:00,12,30,シェケナダム,わかばシューター,N-ZAP85,プライムシューター,ジェットスイーパー,,普通編成,"わかばシューター,N-ZAP85,プライムシューター,ジェットスイーパー"
5,1501135200,1501178400,1,10,60,70,90,,0,0,10,60,70,90,0,0,6,2017/07/29 9:00,2017/07/30 9:00,24,24,難破船ドン･ブラコ,パブロ,ホットブラスター,スプラローラー,バレルスピナー,,普通編成,"パブロ,ホットブラスター,スプラローラー,バレルスピナー"
6,1501286400,1501372800,2,1100,210,1010,4010,,0,1,1100,210,1010,4010,0,0,7,2017/07/31 9:00,2017/07/31 21:00,12,30,シェケナダム,クラッシュブラスター,ヒッセン,わかばシューター,スプラスコープ,,普通編成,"クラッシュブラスター,ヒッセン,わかばシューター,スプラスコープ"
7,1501459200,1501502400,1,230,3010,10,2020,,0,0,230,3010,10,2020,0,0,8,2017/08/02 3:00,2017/08/02 15:00,12,30,難破船ドン･ブラコ,.96ガロン,スプラスピナー,ジェットスイーパー,スプラマニューバー,,普通編成,".96ガロン,スプラスピナー,ジェットスイーパー,スプラマニューバー"
8,1501610400,1501653600,2,80,4000,90,5010,,0,1,80,4000,90,5010,0,0,9,2017/08/03 21:00,2017/08/04 21:00,24,6,シェケナダム,デュアルスイーパー,スプラチャージャー,.52ガロン,バケットスロッシャー,,普通編成,"デュアルスイーパー,スプラチャージャー,.52ガロン,バケットスロッシャー"
9,1501761600,1501848000,1,5030,2010,50,3000,,0,0,5030,2010,50,3000,0,0,10,2017/08/05 3:00,2017/08/06 3:00,24,36,難破船ドン･ブラコ,わかばシューター,.96ガロン,プライムシューター,カーボンローラー,,普通編成,"わかばシューター,.96ガロン,プライムシューター,カーボンローラー"
10,1501869600,1501956000,2,10,80,70,1000,,0,1,10,80,70,1000,0,0,11,2017/08/07 15:00,2017/08/08 15:00,24,18,シェケナダム,スパッタリー,ソイチューバー,ホクサイ,バレルスピナー,,普通編成,"スパッタリー,ソイチューバー,ホクサイ,バレルスピナー"
